Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D23Z;D23B;V24Z;V24B;V25Z;V25B;V26Z;V26B;V27Z;V27B;D51Z;D51B;V52Z;V52B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;V85Z;V85B;D111Z;D111B;V112Z;V112B;D121Z;D121B;D122Z;D122B;V531Z;V531B;V571Z;V571B;TF32Z;TF32B;TF35Z;TF35B;TF38Z;TF38B;TF41Z;TF41B;TBS32Z;TBS32B;TBS35Z;TBS35B;TBS38Z;TBS38B;TBS41Z;TBS41B;AnFwZ;AnFwB;MP31Z;MP31B;MP32Z;MP32B;MP111Z;MP111B;MP112Z;MP112B;MP113Z;MP113B;V7_StoerZ;V7_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;V4_StoerZ;V4_StoerB;V5_StoerZ;V5_StoerB;V6_StoerZ;V6_StoerB;V7_StoerZ;V7_StoerB;EG27Z;EG27B;EG28Z;EG28B
12.04.2024;16:26;A 46;1;1;28;0;0;0;0;1;2;0;0;0;0;0;0;4;64;0;0;5;4;5;5;3;18;2;18;6;12;5;73;0;84;1;30;1;35;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;100;0;0;;;0;0;0;0;0;0;;;;;;;;;;
12.04.2024;09:45;A 46;1;1;0;0;0;1;7;1;2;0;0;1;7;1;1;5;61;0;100;3;75;5;67;1;13;4;21;6;11;5;39;2;56;1;1;2;9;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;100;0;0;0;0;;;;;;;;;;
12.04.2024;09:44;A 46;1;0;0;0;0;1;39;0;0;0;0;1;8;1;1;1;60;0;100;6;70;8;79;2;86;1;99;8;18;8;8;4;25;2;4;1;8;0;100;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;100;0;0;0;0;;;;;;;;;;
12.04.2024;09:43;A 46;1;0;0;1;20;0;0;1;3;0;7;0;0;0;0;2;40;0;100;8;59;8;61;1;82;1;76;7;17;4;57;2;72;0;8;1;8;0;100;2;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;100;0;0;0;0;;;;;;;;;;
12.04.2024;09:42;A 46;1;0;0;1;29;0;26;0;31;2;20;0;0;1;2;5;22;0;100;2;52;2;62;2;46;1;51;2;2;7;42;3;64;1;55;1;76;0;100;1;3;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;0;100;0;0;0;0;;;;;;;;;;
12.04.2024;09:41;A 46;1;1;1;1;44;2;17;2;16;2;21;1;23;2;4;3;56;0;100;7;27;5;17;2;43;3;33;4;8;4;79;0;88;0;100;0;3;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;100;0;0;0;0;;;;;;;;;;
12.04.2024;09:40;A 46;1;0;0;2;43;1;37;1;5;2;9;2;28;2;2;2;53;0;100;11;78;9;70;0;100;2;84;9;20;4;58;4;71;3;1;1;4;0;100;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;;;0;100;0;0;0;0;;;;;;;;;;
