Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;V111Z;V111B;D12Z;D12B;V121Z;V121B;D21Z;D21B;V21_2Z;V21_2B;V211Z;V211B;D23Z;D23B;D22Z;D22B;V221Z;V221B;D31Z;D31B;V31_2Z;V31_2B;V311Z;V311B;D32Z;D32B;V321Z;V321B;D41Z;D41B;V411Z;V411B;D43Z;D43B;D42Z;D42B;V421Z;V421B;D44Z;D44B;T1_T2Z;T1_T2B;TB1_TB2Z;TB1_TB2B;T3_T4Z;T3_T4B;TB3_TB4Z;TB3_TB4B;T5_T6Z;T5_T6B;TB5_TB6Z;TB5_TB6B;T7_T8Z;T7_T8B;TB7_TB8Z;TB7_TB8B;VR110Z;VR110B;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB;V4_IOZ;V4_IOB;V5_IOZ;V5_IOB;V6_IOZ;V6_IOB;V7_IOZ;V7_IOB
12.04.2024;16:26;A 33;1;2;26;2;10;2;79;4;12;1;3;6;61;2;74;4;4;0;100;0;96;0;0;0;0;1;0;1;3;2;11;6;35;6;27;1;48;2;80;2;6;2;57;0;0;0;0;0;0;0;0;1;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:45;A 33;1;1;1;1;4;1;19;1;3;1;15;5;81;1;89;0;100;0;100;1;5;4;47;0;0;0;12;6;43;1;15;1;27;1;2;1;10;1;33;1;2;1;5;2;3;0;0;1;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:44;A 33;1;0;0;0;0;2;5;2;8;1;1;6;73;2;90;0;100;0;100;0;10;3;7;0;0;1;39;1;16;1;3;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:43;A 33;1;3;5;2;8;4;6;2;13;1;19;4;57;1;67;0;100;0;100;2;44;9;78;0;0;0;0;3;97;0;99;3;26;2;4;2;33;1;86;3;5;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:42;A 33;1;3;3;2;9;3;71;4;18;1;0;9;66;2;89;0;100;0;100;1;21;4;87;0;0;0;0;3;25;7;69;1;13;0;0;0;10;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:41;A 33;1;6;31;2;50;3;68;3;9;0;0;4;64;4;51;0;100;0;100;1;8;3;66;0;0;0;0;4;17;1;20;1;56;2;3;2;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:40;A 33;1;0;0;0;0;4;72;2;56;0;0;4;75;3;52;0;100;0;100;0;27;6;63;0;0;0;0;5;53;2;12;3;84;3;5;3;62;1;0;2;2;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
