Datum;Uhrzeit;Bezeichnung;Intervall;T2_sZ;T2_sB;T2_bZ;T2_bB;T3_sZ;T3_sB;T3_bZ;T3_bB;TFWZ;TFWB
13.04.2024;01:12;A130;1;0;0;0;0;0;0;0;0;;
12.04.2024;18:07;A130;1;0;0;0;0;0;0;0;0;;
12.04.2024;16:26;A130;1;0;0;0;0;0;0;0;0;;
12.04.2024;09:45;A130;1;1;0;0;0;0;0;0;0;;
12.04.2024;09:44;A130;1;1;1;0;0;0;0;0;0;;
12.04.2024;09:43;A130;1;0;0;0;0;0;0;0;0;;
12.04.2024;09:42;A130;1;0;0;0;0;0;0;0;0;;
12.04.2024;09:41;A130;1;0;0;0;0;0;0;0;0;;
12.04.2024;09:40;A130;1;0;0;0;0;0;0;0;0;;
12.04.2024;07:29;A130;1;0;0;0;0;0;0;0;0;;
