Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D15Z;D15B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D24Z;D24B;D25Z;D25B;D26Z;D26B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D34Z;D34B;D35Z;D35B;D36Z;D36B;D37Z;D37B;D41Z;D41B;D42Z;D42B;D43Z;D43B;D44Z;D44B;D45Z;D45B;D46Z;D46B;D47Z;D47B;D48Z;D48B;TF32Z;TF32B;TF32aZ;TF32aB;TF33Z;TF33B;TF35Z;TF35B;TF35aZ;TF35aB;TF38Z;TF38B;TF38aZ;TF38aB;TF39Z;TF39B;V10Z;V10B;V20Z;V20B;V30Z;V30B;V40Z;V40B;V1_gestoertZ;V1_gestoertB;V2_gestoertZ;V2_gestoertB;V3_gestoertZ;V3_gestoertB;V4_gestoertZ;V4_gestoertB
12.04.2024;16:26;A 88;1;4;6;10;60;9;7;1;37;0;0;0;0;2;2;0;0;2;95;3;8;0;0;7;85;5;26;1;1;6;21;9;76;8;69;10;34;7;7;4;7;0;99;1;61;7;66;0;0;1;61;6;14;4;77;1;10;2;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:45;A 88;1;3;6;3;4;0;0;0;0;1;1;1;2;0;0;0;0;7;73;5;58;1;0;4;93;2;92;6;3;3;10;5;33;2;3;6;7;1;0;6;86;1;98;6;10;7;10;2;1;2;50;0;0;2;91;1;3;2;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:44;A 88;1;2;10;5;11;5;6;3;92;3;4;3;8;2;3;0;0;2;64;5;10;0;0;5;19;4;86;0;40;9;13;4;82;3;2;3;5;3;3;5;88;2;97;3;14;6;17;1;0;3;68;5;8;3;69;4;56;3;4;3;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
12.04.2024;09:43;A 88;1;4;6;4;19;2;2;1;83;1;1;1;2;0;0;0;0;8;61;4;32;3;1;4;59;5;83;4;16;1;1;5;75;3;33;5;9;4;4;3;93;0;100;4;85;5;10;1;0;2;42;3;3;2;75;1;6;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;09:42;A 88;1;1;1;2;3;1;1;1;43;1;2;1;3;0;0;0;0;1;65;5;17;0;0;3;92;3;89;4;3;3;4;7;63;2;5;8;8;2;2;4;88;0;100;6;84;9;17;2;1;5;64;2;9;2;60;1;8;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
12.04.2024;09:41;A 88;1;6;7;3;3;3;3;0;39;0;0;0;0;1;1;0;0;1;80;2;2;0;0;5;87;5;85;1;1;6;17;3;65;3;18;4;7;3;2;6;80;3;96;7;16;8;14;0;0;5;44;5;18;3;67;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
12.04.2024;09:40;A 88;1;0;0;6;40;3;4;4;60;2;4;2;5;2;3;0;0;3;82;2;3;0;0;1;88;5;48;4;3;4;6;4;82;3;17;5;12;3;3;5;85;4;87;7;8;7;29;3;4;5;86;2;59;1;42;0;0;2;9;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
