Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D43Z;D43B;D44Z;D44B;HH51_M1_4501Z;HH51_M1_4501B;AH51_M2_4502Z;AH51_M2_4502B;HH55_M3_2137Z;HH55_M3_2137B;AH55_M4_2138Z;AH55_M4_2138B;Schluessel_S51Z;Schluessel_S51B;Schluessel_S55Z;Schluessel_S55B;D10Z;D10B;21Z;21B;22Z;22B;23Z;23B;24Z;24B;25Z;25B;26Z;26B;27Z;27B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
18.04.2024;01:29;A 13;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
18.04.2024;01:22;A 13;1;0;100;0;100;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
18.04.2024;01:16;A 13;1;0;100;0;100;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
18.04.2024;01:10;A 13;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.04.2024;22:19;A 13;1;0;100;0;100;2;46;0;0;0;0;1;65;1;1;2;3;0;0;4;2;6;78;1;85;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;2;1;2;0;0;;;;;;;;;;;;;;;;;;;;
17.04.2024;22:13;A 13;1;0;100;0;100;1;50;0;0;1;1;0;0;2;2;5;6;0;0;0;0;4;43;1;60;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.04.2024;22:07;A 13;1;0;100;0;100;0;0;3;5;0;0;1;73;1;1;2;2;0;0;0;0;2;3;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.04.2024;22:01;A 13;1;0;100;0;100;2;60;3;4;1;2;0;7;1;1;0;0;0;0;0;0;3;10;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.04.2024;21:55;A 13;1;0;100;0;100;2;77;2;4;0;0;0;0;2;4;1;1;0;0;1;0;5;9;1;41;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;1;0;0;1;2;;;;;;;;;;;;;;;;;;;;
17.04.2024;21:39;A 13;1;0;100;0;100;0;0;4;7;3;3;0;0;1;2;1;1;0;0;1;1;3;4;3;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;;;;;;;;;;;;;;;;;;;;
17.04.2024;19:03;A 13;1;0;100;0;100;1;14;4;47;2;20;3;94;0;0;1;1;1;33;2;2;7;46;3;62;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.04.2024;18:57;A 13;1;0;100;0;100;2;73;2;17;2;6;4;54;1;2;3;91;1;95;3;3;17;53;5;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.04.2024;18:51;A 13;1;0;100;0;100;3;90;11;43;8;31;4;68;1;3;3;81;0;100;1;1;8;32;5;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.04.2024;18:40;A 13;1;0;100;0;100;0;0;4;5;8;36;4;87;3;6;3;52;1;41;1;1;10;68;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.04.2024;16:57;A 13;1;0;100;0;100;2;84;7;81;9;37;4;79;3;7;5;7;1;100;5;19;15;51;4;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.04.2024;10:13;A 13;1;0;100;0;100;1;11;4;31;5;33;0;0;4;12;7;56;1;34;4;44;3;7;5;85;2;2;1;2;1;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
17.04.2024;04:53;A 13;1;0;100;0;100;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
