Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V111Z;V111B;V351Z;V351B;TF35Z;TF35B;TF35aZ;TF35aB;TBS35Z;TBS35B;TBS35aZ;TBS35aB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB;MP_A81_MP3Z;MP_A81_MP3B;MP_A77_MP1Z;MP_A77_MP1B;MP_A51_MP4Z;MP_A51_MP4B;MP_A77_MP2Z;MP_A77_MP2B
18.04.2024;01:28;A 77;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
18.04.2024;01:21;A 77;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
18.04.2024;01:15;A 77;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
18.04.2024;01:09;A 77;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;22:18;A 77;1;0;0;2;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;22:12;A 77;1;0;0;1;36;1;2;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;22:06;A 77;1;0;0;1;15;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;22:00;A 77;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;21:54;A 77;1;2;8;2;13;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;21:38;A 77;1;0;0;2;20;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;19:02;A 77;1;2;20;2;7;2;19;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
17.04.2024;18:56;A 77;1;3;11;1;20;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;18:50;A 77;1;4;18;3;23;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;18:39;A 77;1;1;6;2;91;1;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;17:42;A 77;1;2;11;3;47;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;16:56;A 77;1;3;13;6;60;1;7;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;10:12;A 77;1;3;10;5;35;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;04:52;A 77;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;04:47;A 77;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
