Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;D11Z;D11B;D12Z;D12B;TF32Z;TF32B;TB32Z;TB32B;TF33Z;TF33B;TB33Z;TB33B;ST51Z;ST51B;ST55Z;ST55B;LUe_AbFV2_A8Z;LUe_AbFV2_A8B
18.04.2024;01:28;A 80;1;0;0;0;0;0;0;1;5;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.04.2024;01:21;A 80;1;0;0;1;4;0;0;3;3;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.04.2024;01:15;A 80;1;0;0;0;0;0;0;5;6;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.04.2024;01:09;A 80;1;0;0;0;0;0;0;1;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;22:18;A 80;1;0;0;3;8;0;0;8;20;1;8;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;22:12;A 80;1;0;0;2;11;0;0;8;22;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;22:06;A 80;1;0;0;1;9;1;1;4;14;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;22:00;A 80;1;0;0;4;9;0;0;2;23;0;0;0;100;0;0;0;0;1;1;1;1;0;0;0;0;0;0
17.04.2024;21:54;A 80;1;0;0;1;4;0;0;6;35;0;0;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0
17.04.2024;21:38;A 80;1;0;0;5;28;0;0;4;14;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;19:02;A 80;1;1;2;4;30;0;0;2;61;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;18:56;A 80;1;1;1;2;24;0;0;3;42;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;18:50;A 80;1;0;0;2;14;3;3;4;39;1;48;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;18:39;A 80;1;0;0;2;8;1;2;5;28;0;0;0;100;0;0;0;0;1;1;0;0;0;0;0;0;0;0
17.04.2024;17:42;A 80;1;1;1;7;44;0;0;3;30;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;16:56;A 80;1;0;0;1;9;1;1;3;43;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;10:12;A 80;1;0;0;2;36;1;1;2;50;1;25;0;100;0;0;0;0;1;1;0;0;0;0;0;0;0;0
17.04.2024;04:52;A 80;1;0;0;1;3;0;0;3;14;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;04:47;A 80;1;0;0;0;0;0;0;3;20;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
