Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D41Z;D41B;D42Z;D42B;T1Z;T1B;T2Z;T2B;T3Z;T3B;T4Z;T4B
27.06.2024;00:51;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:50;A 19;1;1;31;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:49;A 19;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:48;A 19;1;2;41;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:47;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:46;A 19;1;0;0;1;27;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:45;A 19;1;0;0;1;66;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:44;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:43;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:42;A 19;1;1;52;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:41;A 19;1;1;50;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:40;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:39;A 19;1;1;31;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:38;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:37;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:36;A 19;1;1;96;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:35;A 19;1;1;19;0;0;0;0;0;0;0;0;0;0;1;1
27.06.2024;00:34;A 19;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
27.06.2024;00:33;A 19;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
27.06.2024;00:32;A 19;1;1;43;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:31;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:30;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:29;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:28;A 19;1;0;53;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:27;A 19;1;1;45;0;0;0;0;0;0;1;1;0;0;0;0
27.06.2024;00:26;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:25;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:24;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:23;A 19;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:22;A 19;1;1;44;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:21;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:20;A 19;1;0;13;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:19;A 19;1;1;40;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:18;A 19;1;0;0;0;23;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:17;A 19;1;1;2;2;26;0;35;0;0;0;0;0;0;0;0
27.06.2024;00:16;A 19;1;0;0;0;0;1;39;0;0;0;0;0;0;0;0
27.06.2024;00:15;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:14;A 19;1;0;51;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:13;A 19;1;1;52;0;0;1;1;0;0;0;0;0;0;0;0
27.06.2024;00:12;A 19;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
27.06.2024;00:11;A 19;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:10;A 19;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:09;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:08;A 19;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
27.06.2024;00:07;A 19;1;1;45;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:06;A 19;1;1;87;0;0;0;0;0;0;0;0;1;2;0;0
27.06.2024;00:05;A 19;1;0;0;0;17;0;20;0;0;0;0;0;0;0;0
27.06.2024;00:04;A 19;1;0;0;1;99;1;53;0;0;0;0;0;0;2;4
27.06.2024;00:03;A 19;1;3;32;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:02;A 19;1;1;31;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:01;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:00;A 19;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0
26.06.2024;23:59;A 19;1;0;72;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:58;A 19;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:57;A 19;1;2;69;0;88;0;40;0;0;0;0;0;0;0;0
26.06.2024;23:56;A 19;1;0;0;1;15;1;13;0;0;0;0;0;0;1;2
26.06.2024;23:55;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:54;A 19;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0
26.06.2024;23:53;A 19;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:52;A 19;1;1;1;0;0;0;28;0;0;0;0;0;0;0;0
26.06.2024;23:51;A 19;1;0;0;0;0;1;51;0;0;0;0;0;0;0;0
26.06.2024;23:50;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:49;A 19;1;1;40;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:48;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:47;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:46;A 19;1;1;32;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:45;A 19;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:44;A 19;1;1;2;1;72;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:43;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:42;A 19;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:41;A 19;1;1;52;1;91;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:40;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:39;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:38;A 19;1;0;0;1;1;0;24;1;1;0;0;0;0;0;0
26.06.2024;23:37;A 19;1;1;1;0;0;1;93;0;0;0;0;0;0;1;1
26.06.2024;23:36;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:35;A 19;1;1;53;0;46;1;15;0;0;0;0;0;0;0;0
26.06.2024;23:34;A 19;1;1;34;1;63;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:33;A 19;1;3;12;0;0;2;13;0;0;0;0;0;0;0;0
26.06.2024;23:32;A 19;1;0;66;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:31;A 19;1;1;52;1;3;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:30;A 19;1;1;39;1;1;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:29;A 19;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
26.06.2024;23:28;A 19;1;1;93;2;5;1;0;0;0;0;0;0;0;0;0
26.06.2024;23:27;A 19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:26;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:25;A 19;1;2;20;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:24;A 19;1;2;27;1;27;0;24;0;0;0;0;0;0;0;0
26.06.2024;23:23;A 19;1;1;41;1;26;1;87;0;0;0;0;0;0;0;0
26.06.2024;23:22;A 19;1;0;0;1;6;1;3;0;0;0;0;0;0;6;5
26.06.2024;23:21;A 19;1;0;0;0;45;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:20;A 19;1;0;0;1;65;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:19;A 19;1;0;0;1;36;1;22;0;0;0;0;0;0;0;0
26.06.2024;23:18;A 19;1;1;28;2;41;1;32;0;0;0;0;0;0;0;0
26.06.2024;23:17;A 19;1;4;32;2;31;2;47;0;0;0;0;0;0;0;0
26.06.2024;23:16;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:15;A 19;1;0;0;0;25;0;86;0;0;1;29;0;0;0;0
26.06.2024;23:14;A 19;1;0;0;1;2;1;15;0;0;0;0;0;0;0;0
26.06.2024;23:13;A 19;1;1;1;0;0;0;4;0;0;1;1;0;0;0;0
26.06.2024;23:12;A 19;1;0;0;0;0;3;45;0;0;0;0;0;0;0;0
26.06.2024;23:11;A 19;1;1;22;0;0;3;79;0;0;0;0;0;0;0;0
