Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;V22Z;V22B;D51Z;D51B;V52Z;V52B;D81Z;D81B;V82Z;V82B;D111Z;D111B;V112Z;V112B;TF32Z;TF32B;TF35Z;TF35B;TF38Z;TF38B;TF41Z;TF41B;TB32Z;TB32B;TB35Z;TB35B;TB38Z;TB38B;TB41Z;TB41B
03.11.2024;01:00;A 35;1;0;0;0;0;2;2;3;12;0;0;0;0;1;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:59;A 35;1;0;0;0;0;3;11;3;25;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:58;A 35;1;0;0;0;0;2;2;3;8;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:57;A 35;1;0;0;0;0;2;2;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:56;A 35;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:55;A 35;1;0;0;0;0;1;1;1;3;2;24;2;29;6;42;2;95;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0
03.11.2024;00:54;A 35;1;0;0;0;0;1;6;8;22;1;11;1;7;3;9;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:53;A 35;1;0;0;0;0;3;4;4;11;0;0;0;0;1;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:52;A 35;1;0;0;0;0;2;2;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:51;A 35;1;1;1;1;6;1;1;2;5;0;2;0;0;1;2;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:50;A 35;1;0;0;0;0;1;0;1;2;1;2;2;7;6;4;5;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:49;A 35;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:48;A 35;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:47;A 35;1;0;0;0;0;2;2;4;6;0;0;0;0;1;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:46;A 35;1;0;0;1;6;2;2;4;6;1;0;0;0;4;4;3;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:45;A 35;1;0;0;0;0;1;1;2;3;0;0;0;0;2;4;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:44;A 35;1;0;0;0;0;1;1;2;5;0;0;0;0;3;4;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:43;A 35;1;0;0;0;0;1;1;2;4;0;0;0;0;3;3;3;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:42;A 35;1;0;0;0;0;1;0;1;3;1;18;6;13;4;5;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:41;A 35;1;0;0;0;0;3;3;5;11;1;1;1;5;2;2;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:40;A 35;1;0;0;0;0;1;1;1;5;1;0;0;0;4;5;3;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:39;A 35;1;0;0;0;0;1;1;1;4;0;0;0;0;2;2;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:38;A 35;1;0;0;0;0;1;1;2;3;0;0;0;0;3;3;3;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:37;A 35;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:36;A 35;1;0;0;0;0;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:35;A 35;1;0;0;0;0;2;2;3;9;0;0;0;0;2;3;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:34;A 35;1;0;0;0;0;3;2;3;9;0;0;0;0;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:33;A 35;1;0;0;0;0;2;3;8;23;0;0;0;0;2;1;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:32;A 35;1;0;0;0;0;4;4;4;13;0;0;0;0;1;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:31;A 35;1;0;0;0;0;3;5;1;32;1;12;1;9;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:30;A 35;1;0;0;0;0;3;8;3;16;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2024;00:29;A 35;1;0;0;0;0;3;4;5;24;0;0;0;0;1;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
