Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;T1_2Z;T1_2B
11.11.2024;01:00;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:59;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:58;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
11.11.2024;00:57;A 96;1;0;100;0;100;0;0;0;0;2;38;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:56;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:55;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:54;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
11.11.2024;00:53;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:52;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:51;A 96;1;0;100;0;100;1;6;0;0;1;47;2;2;3;2;0;0;0;0;0;0
11.11.2024;00:50;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:49;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:48;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:47;A 96;1;0;100;0;100;0;0;0;0;0;0;1;2;1;1;0;0;0;0;1;3
11.11.2024;00:46;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:45;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:44;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:43;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
11.11.2024;00:42;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:41;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:40;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:39;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
11.11.2024;00:38;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:37;A 96;1;0;100;0;100;1;1;0;0;1;69;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:36;A 96;1;0;100;0;100;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0
11.11.2024;00:35;A 96;1;0;100;0;100;0;0;1;66;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:34;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
11.11.2024;00:33;A 96;1;0;100;0;100;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0
11.11.2024;00:32;A 96;1;0;100;0;100;0;16;0;0;0;0;1;5;2;4;0;0;0;0;0;0
11.11.2024;00:31;A 96;1;0;100;0;100;1;39;0;0;0;21;1;1;1;1;0;0;0;0;0;0
11.11.2024;00:30;A 96;1;0;100;0;100;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0
11.11.2024;00:29;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
11.11.2024;00:28;A 96;1;0;100;0;100;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:27;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
11.11.2024;00:26;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;1;1;2;1;2;0;0
11.11.2024;00:25;A 96;1;0;100;0;100;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:24;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
11.11.2024;00:23;A 96;1;0;100;0;100;1;1;0;0;3;37;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:22;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
11.11.2024;00:21;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
11.11.2024;00:20;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:19;A 96;1;0;100;0;100;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0
11.11.2024;00:18;A 96;1;0;100;0;100;0;15;0;0;0;0;0;0;1;2;0;0;0;0;0;0
11.11.2024;00:17;A 96;1;0;100;0;100;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:16;A 96;1;0;100;0;100;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0
11.11.2024;00:15;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
11.11.2024;00:14;A 96;1;0;100;0;100;0;0;0;0;0;0;3;2;1;1;0;0;0;0;0;0
11.11.2024;00:13;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:12;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:11;A 96;1;0;100;0;100;0;0;0;0;0;0;3;6;3;7;0;0;0;0;0;0
11.11.2024;00:10;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:09;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
11.11.2024;00:08;A 96;1;0;100;0;100;1;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:07;A 96;1;0;100;0;100;1;65;0;0;0;0;1;1;2;2;0;0;0;0;0;0
11.11.2024;00:06;A 96;1;0;100;0;100;0;1;0;3;0;0;0;0;3;4;0;0;0;0;0;0
11.11.2024;00:05;A 96;1;0;100;0;100;3;71;1;68;0;0;1;0;2;2;0;0;0;0;0;0
11.11.2024;00:04;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.11.2024;00:03;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
11.11.2024;00:02;A 96;1;0;100;0;100;0;0;0;0;0;0;1;4;3;5;0;0;0;0;0;0
11.11.2024;00:01;A 96;1;0;100;0;100;0;0;0;0;0;0;2;2;2;1;0;0;0;0;0;0
11.11.2024;00:00;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.11.2024;23:59;A 96;1;0;100;0;100;0;62;0;0;0;0;2;2;0;0;0;0;0;0;0;0
10.11.2024;23:58;A 96;1;0;100;0;100;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.11.2024;23:57;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;3;4;1;2;1;2;0;0
10.11.2024;23:56;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0
10.11.2024;23:55;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;3;3;0;0;0;0;0;0
10.11.2024;23:54;A 96;1;0;100;0;100;0;2;0;0;0;0;0;0;0;0;1;2;1;2;0;0
10.11.2024;23:53;A 96;1;0;100;0;100;1;0;0;10;0;0;1;1;1;1;0;0;0;0;0;0
10.11.2024;23:52;A 96;1;0;100;0;100;0;0;1;52;0;0;2;1;3;2;0;0;0;0;0;0
10.11.2024;23:51;A 96;1;0;100;0;100;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0
10.11.2024;23:50;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0
10.11.2024;23:49;A 96;1;0;100;0;100;2;19;0;0;0;0;0;0;2;2;0;0;0;0;0;0
10.11.2024;23:48;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.11.2024;23:47;A 96;1;0;100;0;100;2;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.11.2024;23:46;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
10.11.2024;23:45;A 96;1;0;100;0;100;0;0;0;0;0;0;2;1;3;4;0;0;0;0;0;0
10.11.2024;23:44;A 96;1;0;100;0;100;1;44;0;0;0;0;1;1;0;0;0;0;0;0;0;0
10.11.2024;23:43;A 96;1;0;100;0;100;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.11.2024;23:42;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
10.11.2024;23:41;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.11.2024;23:40;A 96;1;0;100;0;100;1;24;1;8;1;64;1;1;0;0;0;0;0;0;0;0
10.11.2024;23:39;A 96;1;0;100;0;100;1;12;0;0;0;0;0;0;2;2;0;0;0;0;0;0
10.11.2024;23:38;A 96;1;0;100;0;100;1;35;0;0;0;0;1;1;0;0;0;0;0;0;0;0
10.11.2024;23:37;A 96;1;0;100;0;100;1;27;0;0;0;23;1;1;2;3;0;0;0;0;0;0
10.11.2024;23:36;A 96;1;0;100;0;100;1;32;0;0;1;28;0;0;1;1;0;0;0;0;0;0
10.11.2024;23:35;A 96;1;0;100;0;100;1;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.11.2024;23:34;A 96;1;0;100;0;100;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.11.2024;23:33;A 96;1;0;100;0;100;1;36;1;2;0;0;0;0;2;2;0;0;0;0;0;0
10.11.2024;23:32;A 96;1;0;100;0;100;1;42;0;0;0;0;1;3;1;2;0;0;0;0;0;0
10.11.2024;23:31;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
10.11.2024;23:30;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
10.11.2024;23:29;A 96;1;0;100;0;100;1;13;0;0;0;0;1;2;1;1;0;0;0;0;0;0
10.11.2024;23:28;A 96;1;0;100;0;100;0;0;1;30;0;0;0;0;0;0;0;0;0;0;0;0
10.11.2024;23:27;A 96;1;0;100;0;100;2;30;0;0;0;0;0;0;1;1;0;0;0;0;0;0
10.11.2024;23:26;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0
10.11.2024;23:25;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
10.11.2024;23:24;A 96;1;0;100;0;100;0;0;0;0;0;0;3;3;2;1;0;0;0;0;0;0
