Datum;Uhrzeit;Bezeichnung;Intervall;T2_sZ;T2_sB;T2_bZ;T2_bB;T3_sZ;T3_sB;T3_bZ;T3_bB;TFWZ;TFWB
23.05.2024;05:34;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:31;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:29;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:28;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:27;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:26;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:25;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:24;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:23;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:22;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:21;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:20;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:19;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:18;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:17;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:16;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:15;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:14;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:13;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:12;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:11;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:10;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:09;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:08;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:07;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:06;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:05;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:04;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:03;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:02;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:01;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;05:00;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:59;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:58;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:57;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:56;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:55;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:54;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:53;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:52;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:51;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:50;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:49;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:48;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:47;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:46;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:45;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:44;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:43;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:42;A130;1;0;0;0;0;0;0;0;0;;
23.05.2024;04:41;A130;1;0;0;0;0;0;0;0;0;;
