Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D41Z;D41B;D42Z;D42B;HH51_M2_5001Z;HH51_M2_5001B;VD51_M1_5000Z;VD51_M1_5000B;HD51_M2_5001Z;HD51_M2_5001B;AH51_M3_5002Z;AH51_M3_5002B;AD51_M3_5002Z;AD51_M3_5002B;HH55_M4_5004Z;HH55_M4_5004B;VD55_A53/M4_53XZ;VD55_A53/M4_53XB;HD55_M4_5004Z;HD55_M4_5004B;AH55_M5_5005Z;AH55_M5_5005B;AD55_M5_5005Z;AD55_M5_5005B;Schluessel_S51Z;Schluessel_S51B;Schluessel_S55Z;Schluessel_S55B;D11Z;D11B;D12Z;D12B;D31Z;D31B;D32Z;D32B;Anf_FG_32Z;Anf_FG_32B
01.01.2024;01:00;A 50;1;1;0;3;3;4;0;0;0;2;23;0;22;0;28;0;0;0;0;0;0;7;60;3;65;1;2;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:59;A 50;1;0;0;0;0;3;1;0;0;4;91;2;9;0;100;1;50;0;0;0;0;6;60;7;81;1;29;0;0;1;3;1;7;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:58;A 50;1;3;2;2;13;1;0;2;3;1;61;0;0;1;72;2;60;2;2;3;7;1;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:57;A 50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:56;A 50;1;4;3;3;15;2;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:55;A 50;1;1;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:54;A 50;1;2;1;2;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:53;A 50;1;5;8;2;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:52;A 50;1;0;0;0;0;3;25;2;15;0;0;1;1;0;0;0;0;0;0;0;0;3;43;2;20;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
01.01.2024;00:51;A 50;1;2;1;3;5;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;2;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:50;A 50;1;4;5;4;37;1;0;1;1;1;26;1;1;1;30;1;2;0;0;0;0;2;54;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
