Datum;Uhrzeit;Bezeichnung;Intervall;T2_sZ;T2_sB;T2_bZ;T2_bB;T3_sZ;T3_sB;T3_bZ;T3_bB;TFWZ;TFWB
01.01.2024;01:00;A130;1;0;0;0;0;0;0;0;0;;
01.01.2024;00:59;A130;1;0;0;0;0;0;0;0;0;;
01.01.2024;00:58;A130;1;0;0;0;0;0;0;0;0;;
01.01.2024;00:57;A130;1;0;0;0;0;0;0;0;0;;
01.01.2024;00:56;A130;1;0;0;0;0;0;0;0;0;;
01.01.2024;00:55;A130;1;0;0;0;0;0;0;0;0;;
01.01.2024;00:54;A130;1;0;0;0;0;0;0;0;0;;
01.01.2024;00:53;A130;1;0;0;0;0;0;0;0;0;;
01.01.2024;00:52;A130;1;0;0;0;0;0;0;0;0;;
01.01.2024;00:51;A130;1;0;0;0;0;0;0;0;0;;
01.01.2024;00:50;A130;1;0;0;0;0;0;0;0;0;;
