Datum;Uhrzeit;Bezeichnung;Intervall;HAMP01Z;HAMP01B;ABMP02Z;ABMP02B;HAMP03Z;HAMP03B;ABMP04Z;ABMP04B;T1Z;T1B;T2Z;T2B
01.01.2024;01:00;A 79;1;1;2;1;2;0;0;0;0;0;0;0;0
01.01.2024;00:59;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:58;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:57;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:56;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:55;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:54;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:53;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:52;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:51;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:50;A 79;1;0;0;0;0;0;0;0;0;0;0;0;0
