Datum;Uhrzeit;Bezeichnung;Intervall;TF38_AnfZ;TF38_AnfB;TF38a_AnfZ;TF38a_AnfB;TBS38_AnfZ;TBS38_AnfB;TBS38a_AnfZ;TBS38a_AnfB;MP11Z;MP11B;MP12Z;MP12B;MP13Z;MP13B;MP51Z;MP51B;MP52Z;MP52B;MP53Z;MP53B;MP54Z;MP54B
01.01.2024;01:00;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.01.2024;00:59;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.01.2024;00:58;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.01.2024;00:57;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.01.2024;00:56;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.01.2024;00:55;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.01.2024;00:54;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.01.2024;00:53;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.01.2024;00:52;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.01.2024;00:51;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.01.2024;00:50;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
