Datum;Uhrzeit;Bezeichnung;Intervall;D51Z;D51B;D52Z;D52B;V51Z;V51B;D111Z;D111B;V111Z;V111B;D112Z;D112B;TF35aZ;TF35aB;TB35aZ;TB35aB;TF35bZ;TF35bB;TB35bZ;TB35bB
01.01.2024;01:00;A149;1;1;1;0;0;0;3;0;0;0;0;2;1;0;0;0;0;0;0;0;0
01.01.2024;00:59;A149;1;0;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:58;A149;1;1;0;0;0;0;0;4;5;4;13;2;2;0;0;0;0;0;0;0;0
01.01.2024;00:57;A149;1;3;3;3;2;2;14;1;1;1;2;3;3;0;0;0;0;0;0;0;0
01.01.2024;00:56;A149;1;3;4;3;4;2;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:55;A149;1;2;2;2;2;1;13;2;2;1;14;2;2;0;0;0;0;0;0;0;0
01.01.2024;00:54;A149;1;0;0;0;0;0;0;3;3;2;16;2;1;0;0;0;0;0;0;0;0
01.01.2024;00:53;A149;1;0;0;0;0;0;0;0;0;1;5;1;1;0;0;0;0;0;0;0;0
01.01.2024;00:52;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:51;A149;1;1;2;1;0;1;11;1;1;1;7;1;0;0;0;0;0;0;0;0;0
01.01.2024;00:50;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
