Datum;Uhrzeit;Bezeichnung;Intervall;T1_sZ;T1_sB;T1_bZ;T1_bB;T2_sZ;T2_sB;T2_bZ;T2_bB;IR51Z;IR51B;IR111Z;IR111B
01.01.2024;01:00;A169;1;3;7;3;8;0;0;0;0;0;0;0;0
01.01.2024;00:59;A169;1;3;11;0;0;0;0;0;0;0;0;0;0
01.01.2024;00:58;A169;1;6;17;1;12;0;0;0;0;0;0;0;0
01.01.2024;00:57;A169;1;2;5;2;8;0;0;0;0;0;0;0;0
01.01.2024;00:56;A169;1;5;13;1;7;0;0;0;0;0;0;0;0
01.01.2024;00:55;A169;1;1;1;1;16;0;0;0;0;0;0;0;0
01.01.2024;00:54;A169;1;1;1;3;22;0;0;0;0;0;0;0;0
01.01.2024;00:53;A169;1;4;15;1;0;0;0;0;0;0;0;0;0
01.01.2024;00:52;A169;1;2;10;2;7;0;0;0;0;0;0;0;0
01.01.2024;00:51;A169;1;3;10;2;12;0;0;0;0;0;0;0;0
01.01.2024;00:50;A169;1;2;11;0;0;0;0;0;0;0;0;0;0
