Datum;Uhrzeit;Bezeichnung;Intervall;V51_A9/M2_510Z;V51_A9/M2_510B;H51_A135/1_492Z;H51_A135/1_492B;A51_M1_493Z;A51_M1_493B;H55_A110/M3_12XZ;H55_A110/M3_12XB;A55_M2_1290/12XZ;A55_M2_1290/12XB;MP3_SL_A110Z;MP3_SL_A110B;Anf_32Z;Anf_32B
12.02.2025;10:02;A 74;1;0;0;3;34;1;14;0;0;1;17;0;0;0;0
12.02.2025;10:01;A 74;1;0;0;2;32;1;60;2;7;1;11;1;1;1;1
12.02.2025;10:00;A 74;1;0;0;2;53;1;79;1;31;2;20;0;0;0;0
12.02.2025;09:59;A 74;1;2;8;1;22;3;48;0;0;0;0;3;5;0;0
12.02.2025;09:58;A 74;1;0;0;1;22;1;43;0;20;1;17;0;0;0;0
12.02.2025;09:57;A 74;1;0;0;2;60;2;81;3;6;1;7;1;1;0;0
12.02.2025;09:56;A 74;1;0;0;2;59;1;66;1;2;0;0;1;1;1;1
12.02.2025;09:55;A 74;1;0;0;1;41;5;52;2;15;1;10;1;1;0;0
12.02.2025;09:54;A 74;1;1;8;2;70;2;48;0;0;1;16;0;0;0;0
12.02.2025;09:53;A 74;1;0;0;1;8;1;54;1;1;0;0;1;1;3;5
12.02.2025;09:52;A 74;1;2;7;2;28;2;45;2;2;2;11;1;1;0;0
12.02.2025;09:51;A 74;1;0;0;1;81;1;1;0;0;1;11;0;0;0;0
12.02.2025;09:50;A 74;1;2;9;1;1;1;61;1;5;1;6;1;1;1;1
12.02.2025;09:49;A 74;1;0;0;2;40;1;13;0;14;0;0;0;0;0;0
12.02.2025;09:48;A 74;1;0;0;1;52;2;65;1;23;1;21;0;0;0;0
12.02.2025;09:47;A 74;1;0;0;2;35;2;23;0;0;0;0;2;3;1;1
12.02.2025;09:46;A 74;1;2;12;1;11;3;70;1;2;2;12;0;0;0;0
12.02.2025;09:45;A 74;1;1;7;1;47;1;32;0;0;1;15;2;4;2;3
12.02.2025;09:44;A 74;1;2;9;2;55;1;29;1;2;1;14;1;1;1;2
12.02.2025;09:43;A 74;1;0;0;2;23;2;17;0;0;1;23;0;0;0;0
12.02.2025;09:42;A 74;1;0;0;3;26;2;18;0;0;1;31;0;0;1;1
12.02.2025;09:41;A 74;1;0;0;3;63;3;22;2;17;1;10;1;1;0;0
12.02.2025;09:40;A 74;1;1;3;2;14;2;26;2;5;2;10;1;1;1;2
12.02.2025;09:39;A 74;1;0;0;1;14;2;53;2;17;2;20;1;1;0;0
12.02.2025;09:38;A 74;1;1;3;1;19;1;98;2;7;1;12;0;0;0;0
12.02.2025;09:37;A 74;1;1;1;2;23;0;45;3;14;0;0;1;1;0;0
12.02.2025;09:36;A 74;1;1;6;0;0;0;100;2;11;1;35;1;1;0;0
12.02.2025;09:35;A 74;1;2;11;0;2;0;100;0;0;1;20;0;0;0;0
12.02.2025;09:34;A 74;1;0;0;2;25;0;100;3;17;0;0;2;3;1;1
12.02.2025;09:33;A 74;1;1;19;2;63;0;100;4;7;1;18;0;0;0;0
12.02.2025;09:32;A 74;1;1;2;2;39;0;100;10;22;0;0;2;3;0;0
12.02.2025;09:31;A 74;1;1;10;1;9;0;100;0;0;2;25;0;0;1;1
12.02.2025;09:30;A 74;1;0;0;1;68;1;31;0;0;1;6;0;0;0;0
12.02.2025;09:29;A 74;1;0;0;3;70;1;60;1;0;0;14;1;1;0;0
12.02.2025;09:28;A 74;1;0;0;2;29;2;22;1;1;1;8;2;5;2;3
12.02.2025;09:27;A 74;1;2;3;2;17;0;63;3;12;3;21;1;0;0;0
12.02.2025;09:26;A 74;1;2;7;1;63;0;100;2;2;1;13;1;1;0;0
12.02.2025;09:25;A 74;1;1;3;4;45;1;98;1;3;0;14;1;1;1;1
12.02.2025;09:24;A 74;1;0;0;2;35;0;100;1;0;1;13;0;0;0;0
12.02.2025;09:23;A 74;1;0;0;2;45;0;100;3;71;1;21;1;1;0;0
12.02.2025;09:22;A 74;1;0;0;3;23;0;100;5;14;0;0;1;1;0;0
12.02.2025;09:21;A 74;1;2;11;3;28;0;100;2;10;0;0;0;0;0;0
12.02.2025;09:20;A 74;1;0;0;4;49;0;100;4;15;0;0;0;0;0;0
12.02.2025;09:19;A 74;1;0;0;1;9;0;100;1;2;1;11;1;1;0;0
12.02.2025;09:18;A 74;1;0;0;4;48;1;72;4;7;0;0;0;0;0;0
12.02.2025;09:17;A 74;1;2;8;2;33;1;99;0;0;2;15;0;0;0;0
12.02.2025;09:16;A 74;1;1;8;0;0;1;6;1;1;0;0;0;0;1;1
12.02.2025;09:15;A 74;1;0;0;1;44;1;71;3;6;1;19;0;0;0;0
12.02.2025;09:14;A 74;1;2;11;0;0;2;24;0;0;2;22;1;1;0;0
12.02.2025;09:13;A 74;1;0;0;2;29;2;60;1;10;0;0;1;1;1;1
12.02.2025;09:12;A 74;1;1;8;2;34;1;77;0;0;1;10;0;0;0;0
12.02.2025;09:11;A 74;1;1;1;1;90;2;73;0;0;1;7;1;1;1;1
12.02.2025;09:10;A 74;1;1;8;0;69;3;37;2;20;2;22;1;1;1;1
12.02.2025;09:09;A 74;1;0;0;2;26;3;21;1;2;1;0;0;0;1;1
12.02.2025;09:08;A 74;1;0;0;3;52;2;50;1;2;1;34;0;0;0;0
12.02.2025;09:07;A 74;1;0;0;2;23;2;14;0;0;1;17;1;1;1;1
12.02.2025;09:06;A 74;1;0;0;2;34;0;2;0;0;0;0;0;0;0;0
12.02.2025;09:05;A 74;1;1;10;4;28;2;73;1;3;1;7;1;1;1;1
12.02.2025;09:04;A 74;1;0;0;1;11;4;42;2;5;0;0;0;0;0;0
12.02.2025;09:03;A 74;1;0;0;1;7;3;37;2;7;1;14;0;0;0;0
12.02.2025;09:02;A 74;1;1;11;2;51;2;16;1;1;1;6;1;1;0;0
12.02.2025;09:01;A 74;1;2;16;1;34;0;27;1;3;1;24;1;1;0;0
12.02.2025;09:00;A 74;1;0;0;2;23;1;86;1;6;2;13;1;1;0;0
12.02.2025;08:59;A 74;1;1;3;1;49;3;47;1;30;2;11;0;0;0;0
12.02.2025;08:58;A 74;1;2;12;1;49;2;40;0;0;0;0;1;1;1;1
12.02.2025;08:57;A 74;1;0;0;6;50;2;66;2;9;1;19;1;1;0;0
12.02.2025;08:56;A 74;1;0;0;0;0;1;78;0;0;1;22;0;0;0;0
12.02.2025;08:55;A 74;1;0;1;2;65;3;41;0;0;1;22;1;1;0;0
12.02.2025;08:54;A 74;1;3;35;3;51;2;9;0;0;0;0;1;1;1;1
12.02.2025;08:53;A 74;1;1;11;3;28;1;17;0;0;0;0;0;0;0;0
12.02.2025;08:52;A 74;1;0;0;2;18;2;74;1;3;1;11;1;1;0;0
12.02.2025;08:51;A 74;1;1;11;1;13;2;73;2;65;1;12;0;0;0;0
12.02.2025;08:50;A 74;1;1;4;1;37;2;34;1;51;1;3;1;1;0;0
12.02.2025;08:49;A 74;1;0;0;1;22;2;83;4;38;2;11;0;0;0;0
12.02.2025;08:48;A 74;1;0;0;3;22;2;57;0;0;0;0;1;1;0;0
12.02.2025;08:47;A 74;1;2;5;2;26;1;80;2;1;1;45;0;0;0;0
12.02.2025;08:46;A 74;1;1;7;3;21;1;89;1;14;1;13;1;1;0;0
12.02.2025;08:45;A 74;1;0;0;1;89;3;25;1;39;1;20;0;0;0;0
12.02.2025;08:44;A 74;1;0;0;2;25;2;69;1;16;0;17;0;0;1;1
12.02.2025;08:43;A 74;1;3;38;2;30;1;7;0;0;1;2;2;3;0;0
12.02.2025;08:42;A 74;1;1;5;1;48;3;37;0;5;1;18;0;0;0;0
12.02.2025;08:41;A 74;1;1;5;1;67;0;86;1;1;2;24;1;1;0;0
12.02.2025;08:40;A 74;1;1;22;1;8;2;92;0;5;1;19;1;1;0;0
12.02.2025;08:39;A 74;1;0;0;1;62;2;61;1;37;1;10;1;1;0;0
12.02.2025;08:38;A 74;1;0;8;2;31;3;28;0;4;0;4;0;0;1;1
12.02.2025;08:37;A 74;1;1;13;1;9;2;7;1;2;2;6;1;1;0;0
12.02.2025;08:36;A 74;1;2;36;1;6;3;44;0;0;1;23;0;0;0;0
12.02.2025;08:35;A 74;1;1;12;2;23;2;85;2;9;0;0;3;5;0;0
12.02.2025;08:34;A 74;1;0;0;1;10;1;61;0;0;1;12;0;0;1;1
12.02.2025;08:33;A 74;1;2;10;1;14;2;38;2;7;1;20;1;1;0;0
12.02.2025;08:32;A 74;1;0;0;1;28;1;83;1;1;2;13;0;0;0;0
12.02.2025;08:31;A 74;1;1;2;2;57;1;80;1;17;1;16;0;0;1;1
12.02.2025;08:30;A 74;1;0;0;2;86;1;36;0;0;1;21;1;1;1;3
12.02.2025;08:29;A 74;1;0;0;2;14;2;34;1;3;1;16;1;1;0;0
12.02.2025;08:28;A 74;1;1;17;2;36;6;73;1;10;1;8;0;0;0;0
12.02.2025;08:27;A 74;1;0;0;3;40;1;99;1;29;0;0;1;1;0;0
12.02.2025;08:26;A 74;1;0;0;2;31;2;92;2;36;1;23;0;0;0;0
12.02.2025;08:25;A 74;1;1;17;1;13;1;97;2;3;2;16;0;0;1;2
12.02.2025;08:24;A 74;1;0;0;2;39;0;100;2;7;1;20;1;1;0;0
12.02.2025;08:23;A 74;1;1;23;1;13;1;61;0;0;0;0;1;1;0;0
12.02.2025;08:22;A 74;1;1;4;2;49;1;74;0;6;1;19;0;0;0;0
12.02.2025;08:21;A 74;1;0;0;2;75;3;66;2;54;1;14;1;1;0;0
12.02.2025;08:20;A 74;1;1;40;1;62;5;48;1;8;0;0;1;1;1;1
12.02.2025;08:19;A 74;1;1;19;2;92;4;46;0;19;2;16;0;0;0;0
12.02.2025;08:18;A 74;1;1;26;1;59;1;92;1;26;1;22;1;0;0;0
12.02.2025;08:17;A 74;1;1;4;2;72;1;72;2;14;1;6;1;1;0;0
12.02.2025;08:16;A 74;1;1;15;2;45;1;63;2;4;1;4;2;3;2;3
12.02.2025;08:15;A 74;1;1;32;0;56;3;42;1;2;0;20;1;1;0;0
12.02.2025;08:14;A 74;1;3;11;2;21;0;77;0;0;1;40;1;1;0;0
12.02.2025;08:13;A 74;1;0;0;2;26;2;76;1;2;1;0;1;1;1;1
12.02.2025;08:12;A 74;1;0;0;1;36;2;78;0;0;0;1;0;0;0;0
12.02.2025;08:11;A 74;1;0;0;2;36;3;48;0;0;1;22;0;0;2;11
12.02.2025;08:10;A 74;1;0;9;1;11;2;14;0;0;0;0;0;0;0;0
12.02.2025;08:09;A 74;1;3;38;1;78;1;71;1;0;1;18;0;0;0;0
12.02.2025;08:08;A 74;1;1;0;3;25;0;100;2;10;0;0;0;0;0;0
12.02.2025;08:07;A 74;1;0;0;2;29;1;87;1;5;2;16;0;0;1;1
12.02.2025;08:06;A 74;1;2;1;1;44;1;70;2;7;0;0;1;1;0;0
12.02.2025;08:05;A 74;1;3;3;2;22;2;68;0;0;1;23;0;0;0;0
12.02.2025;08:04;A 74;1;0;0;1;70;0;28;0;0;0;0;1;1;0;0
12.02.2025;08:03;A 74;1;2;6;2;54;1;40;0;0;2;22;0;0;0;0
12.02.2025;08:02;A 74;1;3;34;2;87;4;35;1;4;1;10;1;1;0;0
12.02.2025;08:01;A 74;1;2;20;2;18;1;38;0;0;2;14;0;0;1;1
12.02.2025;08:00;A 74;1;0;0;1;40;1;94;0;1;0;0;2;3;0;0
