Datum;Uhrzeit;Bezeichnung;Intervall;TF32Z;TF32B;TB32Z;TB32B;TF32aZ;TF32aB;TB32aZ;TB32aB
17.04.2024;01:32;A140;1;0;0;0;0;0;0;0;0
17.04.2024;01:31;A140;1;0;0;0;0;0;0;0;0
17.04.2024;01:30;A140;1;0;0;0;0;0;0;0;0
17.04.2024;01:29;A140;1;0;0;0;0;0;0;0;0
17.04.2024;01:28;A140;1;0;0;0;0;0;0;0;0
17.04.2024;01:27;A140;1;0;0;0;0;0;0;0;0
17.04.2024;01:13;A140;1;0;0;0;0;0;0;0;0
17.04.2024;01:12;A140;1;0;0;0;0;0;0;0;0
17.04.2024;01:11;A140;1;0;0;0;0;0;0;0;0
17.04.2024;01:10;A140;1;0;0;0;0;0;0;0;0
17.04.2024;00:21;A140;1;0;0;0;0;0;0;0;0
17.04.2024;00:20;A140;1;0;0;0;0;0;0;0;0
17.04.2024;00:19;A140;1;0;0;0;0;0;0;0;0
17.04.2024;00:18;A140;1;0;0;0;0;0;0;0;0
17.04.2024;00:06;A140;1;0;0;0;0;0;0;0;0
16.04.2024;20:53;A140;1;0;0;0;0;0;0;0;0
16.04.2024;19:15;A140;1;0;0;0;0;0;0;0;0
16.04.2024;19:14;A140;1;0;0;0;0;0;0;0;0
16.04.2024;19:13;A140;1;1;1;0;0;0;0;0;0
16.04.2024;19:12;A140;1;0;0;0;0;0;0;0;0
16.04.2024;19:11;A140;1;0;0;0;0;0;0;0;0
16.04.2024;19:10;A140;1;0;0;0;0;0;0;0;0
16.04.2024;19:08;A140;1;0;0;0;0;0;0;0;0
16.04.2024;18:14;A140;1;0;0;0;0;0;0;0;0
16.04.2024;18:13;A140;1;0;0;1;1;0;0;0;0
16.04.2024;18:12;A140;1;0;0;0;0;0;0;0;0
16.04.2024;18:11;A140;1;0;0;0;0;1;0;0;0
16.04.2024;17:56;A140;1;2;3;1;1;0;0;0;0
16.04.2024;17:22;A140;1;0;0;0;0;0;0;0;0
16.04.2024;16:02;A140;1;1;1;0;0;0;0;0;0
16.04.2024;15:47;A140;1;0;0;0;0;0;0;0;0
16.04.2024;15:43;A140;1;0;0;0;0;0;0;0;0
16.04.2024;15:25;A140;1;1;1;1;1;0;0;0;0
16.04.2024;15:24;A140;1;0;0;0;0;0;0;0;0
16.04.2024;15:23;A140;1;1;1;1;1;2;3;0;0
16.04.2024;15:22;A140;1;3;5;0;0;0;0;0;0
16.04.2024;15:21;A140;1;0;0;0;0;0;0;0;0
16.04.2024;15:20;A140;1;1;1;0;0;0;0;0;0
16.04.2024;12:57;A140;1;0;0;0;0;0;0;0;0
16.04.2024;09:54;A140;1;0;0;0;0;0;0;0;0
16.04.2024;09:26;A140;1;0;0;0;0;0;0;0;0
16.04.2024;07:14;A140;1;0;0;0;0;0;0;0;0
16.04.2024;04:07;A140;1;0;0;0;0;0;0;0;0
16.04.2024;02:16;A140;1;0;0;0;0;0;0;0;0
