Datum;Uhrzeit;Bezeichnung;Intervall;T1_sZ;T1_sB;T1_bZ;T1_bB;T2_sZ;T2_sB;T2_bZ;T2_bB
17.04.2024;01:32;A171;1;0;0;0;0;0;0;0;0
17.04.2024;01:31;A171;1;0;0;0;0;0;0;0;0
17.04.2024;01:30;A171;1;0;0;0;0;0;0;0;0
17.04.2024;01:29;A171;1;0;0;0;0;0;0;0;0
17.04.2024;01:28;A171;1;0;0;0;0;0;0;0;0
17.04.2024;01:27;A171;1;0;0;0;0;0;0;0;0
17.04.2024;01:13;A171;1;0;0;0;0;0;0;0;0
17.04.2024;01:12;A171;1;0;0;0;0;0;0;0;0
17.04.2024;01:11;A171;1;0;0;0;0;0;0;0;0
17.04.2024;01:10;A171;1;0;0;0;0;0;0;0;0
17.04.2024;00:21;A171;1;0;0;0;0;0;0;0;0
17.04.2024;00:20;A171;1;0;0;0;0;0;0;0;0
17.04.2024;00:19;A171;1;0;0;0;0;0;0;0;0
17.04.2024;00:18;A171;1;0;0;0;0;0;0;0;0
17.04.2024;00:10;A171;1;0;0;0;0;0;0;0;0
17.04.2024;00:06;A171;1;0;0;0;0;0;0;0;0
17.04.2024;00:05;A171;1;0;0;0;0;0;0;0;0
16.04.2024;23:38;A171;1;0;0;0;0;0;0;0;0
16.04.2024;23:35;A171;1;0;0;0;0;0;0;0;0
16.04.2024;23:22;A171;1;0;0;0;0;0;0;0;0
16.04.2024;23:01;A171;1;0;0;0;0;0;0;0;0
16.04.2024;22:51;A171;1;0;0;0;0;0;0;0;0
16.04.2024;22:42;A171;1;0;0;0;0;0;0;0;0
16.04.2024;22:26;A171;1;0;0;0;0;0;0;0;0
16.04.2024;22:21;A171;1;0;0;0;0;0;0;0;0
16.04.2024;21:55;A171;1;0;0;0;0;0;0;0;0
16.04.2024;21:33;A171;1;0;0;0;0;0;0;0;0
16.04.2024;21:29;A171;1;0;0;0;0;0;0;0;0
16.04.2024;21:06;A171;1;0;0;0;0;0;0;0;0
16.04.2024;20:53;A171;1;0;0;0;0;0;0;0;0
16.04.2024;20:37;A171;1;0;0;0;0;0;0;0;0
16.04.2024;20:36;A171;1;0;0;0;0;0;0;0;0
16.04.2024;20:27;A171;1;0;0;0;0;0;0;0;0
16.04.2024;20:21;A171;1;0;0;0;0;0;0;0;0
16.04.2024;20:08;A171;1;0;0;0;0;0;0;0;0
16.04.2024;20:05;A171;1;0;0;0;0;0;0;0;0
16.04.2024;20:01;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:51;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:48;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:42;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:38;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:24;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:16;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:15;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:14;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:13;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:12;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:11;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:10;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:08;A171;1;0;0;0;0;0;0;0;0
16.04.2024;19:01;A171;1;0;0;0;0;0;0;0;0
16.04.2024;18:56;A171;1;0;0;0;0;0;0;0;0
16.04.2024;18:49;A171;1;0;0;0;0;0;0;0;0
16.04.2024;18:42;A171;1;0;0;0;0;0;0;0;0
16.04.2024;18:34;A171;1;0;0;0;0;0;0;0;0
16.04.2024;18:23;A171;1;0;0;0;0;0;0;0;0
16.04.2024;18:17;A171;1;0;0;0;0;0;0;0;0
16.04.2024;18:14;A171;1;0;0;0;0;0;0;0;0
16.04.2024;18:13;A171;1;0;0;0;0;0;0;0;0
16.04.2024;18:12;A171;1;0;0;0;0;0;0;0;0
16.04.2024;18:11;A171;1;1;1;1;1;0;0;0;0
16.04.2024;18:06;A171;1;0;0;0;0;0;0;0;0
16.04.2024;17:56;A171;1;0;0;0;0;0;0;0;0
16.04.2024;17:30;A171;1;0;0;0;0;0;0;0;0
16.04.2024;17:22;A171;1;0;0;0;0;0;0;0;0
16.04.2024;17:12;A171;1;0;0;0;0;0;0;0;0
16.04.2024;17:04;A171;1;0;0;0;0;0;0;0;0
16.04.2024;16:54;A171;1;0;0;0;0;0;0;0;0
16.04.2024;16:43;A171;1;0;0;0;0;0;0;0;0
16.04.2024;16:39;A171;1;0;0;0;0;0;0;0;0
16.04.2024;16:36;A171;1;0;0;0;0;0;0;0;0
16.04.2024;16:30;A171;1;0;0;0;0;0;0;0;0
16.04.2024;16:22;A171;1;0;0;0;0;0;0;0;0
16.04.2024;16:14;A171;1;0;0;0;0;0;0;0;0
16.04.2024;16:02;A171;1;0;0;0;0;0;0;0;0
16.04.2024;15:47;A171;1;0;0;0;0;0;0;0;0
16.04.2024;15:43;A171;1;0;0;0;0;0;0;0;0
16.04.2024;15:29;A171;1;0;0;0;0;0;0;0;0
16.04.2024;15:25;A171;1;0;0;0;0;0;0;0;0
16.04.2024;15:24;A171;1;0;0;0;0;0;0;0;0
16.04.2024;15:23;A171;1;0;0;0;0;0;0;0;0
16.04.2024;15:22;A171;1;0;0;0;0;0;0;0;0
16.04.2024;15:21;A171;1;0;0;0;0;0;0;0;0
16.04.2024;15:20;A171;1;0;0;0;0;1;1;1;1
16.04.2024;15:17;A171;1;0;0;0;0;0;0;0;0
16.04.2024;15:08;A171;1;0;0;0;0;0;0;0;0
16.04.2024;15:01;A171;1;0;0;0;0;0;0;0;0
16.04.2024;14:48;A171;1;0;0;0;0;0;0;0;0
16.04.2024;14:43;A171;1;0;0;0;0;0;0;0;0
16.04.2024;14:31;A171;1;0;0;0;0;0;0;0;0
16.04.2024;14:01;A171;1;0;0;0;0;0;0;0;0
16.04.2024;13:55;A171;1;0;0;0;0;0;0;0;0
16.04.2024;13:45;A171;1;0;0;0;0;0;0;0;0
16.04.2024;13:39;A171;1;0;0;0;0;0;0;0;0
16.04.2024;13:33;A171;1;0;0;0;0;0;0;0;0
16.04.2024;13:15;A171;1;0;0;0;0;0;0;0;0
16.04.2024;12:57;A171;1;0;0;0;0;0;0;0;0
16.04.2024;12:51;A171;1;0;0;0;0;0;0;0;0
16.04.2024;12:43;A171;1;0;0;0;0;0;0;0;0
16.04.2024;12:37;A171;1;0;0;0;0;0;0;0;0
16.04.2024;12:33;A171;1;0;0;0;0;0;0;0;0
16.04.2024;12:13;A171;1;0;0;0;0;0;0;0;0
16.04.2024;12:07;A171;1;0;0;0;0;0;0;0;0
16.04.2024;11:56;A171;1;0;0;0;0;0;0;0;0
16.04.2024;11:46;A171;1;0;0;0;0;0;0;0;0
16.04.2024;11:38;A171;1;0;0;0;0;0;0;0;0
16.04.2024;11:26;A171;1;0;0;0;0;0;0;0;0
16.04.2024;11:14;A171;1;0;0;0;0;0;0;0;0
16.04.2024;11:06;A171;1;0;0;0;0;0;0;0;0
16.04.2024;10:52;A171;1;1;1;1;1;0;0;0;0
16.04.2024;10:48;A171;1;0;0;0;0;0;0;0;0
16.04.2024;10:24;A171;1;0;0;0;0;0;0;0;0
16.04.2024;10:12;A171;1;0;0;0;0;0;0;0;0
16.04.2024;09:54;A171;1;0;0;0;0;0;0;0;0
16.04.2024;09:42;A171;1;0;0;0;0;0;0;0;0
16.04.2024;09:33;A171;1;0;0;0;0;0;0;0;0
16.04.2024;09:32;A171;1;0;0;0;0;0;0;0;0
16.04.2024;09:26;A171;1;0;0;0;0;0;0;0;0
16.04.2024;08:50;A171;1;0;0;0;0;0;0;0;0
16.04.2024;08:45;A171;1;0;0;0;0;0;0;0;0
16.04.2024;08:37;A171;1;0;0;0;0;0;0;0;0
16.04.2024;08:04;A171;1;0;0;0;0;0;0;0;0
16.04.2024;07:55;A171;1;0;0;0;0;0;0;0;0
16.04.2024;07:49;A171;1;0;0;0;0;0;0;0;0
16.04.2024;07:46;A171;1;0;0;0;0;0;0;0;0
16.04.2024;07:14;A171;1;0;0;0;0;0;0;0;0
16.04.2024;06:47;A171;1;0;0;0;0;0;0;0;0
16.04.2024;06:38;A171;1;0;0;0;0;0;0;0;0
16.04.2024;06:03;A171;1;0;0;0;0;0;0;0;0
16.04.2024;06:00;A171;1;0;0;0;0;0;0;0;0
16.04.2024;05:40;A171;1;0;0;0;0;0;0;0;0
16.04.2024;05:29;A171;1;0;0;0;0;0;0;0;0
16.04.2024;05:19;A171;1;0;0;0;0;0;0;0;0
16.04.2024;05:09;A171;1;0;0;0;0;0;0;0;0
16.04.2024;05:05;A171;1;0;0;0;0;0;0;0;0
16.04.2024;04:47;A171;1;0;0;0;0;0;0;0;0
16.04.2024;04:42;A171;1;0;0;0;0;0;0;0;0
16.04.2024;04:37;A171;1;0;0;0;0;0;0;0;0
16.04.2024;04:26;A171;1;0;0;0;0;0;0;0;0
16.04.2024;04:16;A171;1;0;0;0;0;0;0;0;0
16.04.2024;04:14;A171;1;0;0;0;0;0;0;0;0
16.04.2024;04:07;A171;1;0;0;0;0;0;0;0;0
16.04.2024;04:00;A171;1;0;0;0;0;0;0;0;0
16.04.2024;03:53;A171;1;0;0;0;0;0;0;0;0
16.04.2024;03:49;A171;1;0;0;0;0;0;0;0;0
16.04.2024;03:36;A171;1;0;0;0;0;0;0;0;0
16.04.2024;03:30;A171;1;0;0;0;0;0;0;0;0
16.04.2024;03:21;A171;1;0;0;0;0;0;0;0;0
16.04.2024;03:01;A171;1;0;0;0;0;0;0;0;0
16.04.2024;02:55;A171;1;0;0;0;0;0;0;0;0
16.04.2024;02:42;A171;1;0;0;0;0;0;0;0;0
16.04.2024;02:24;A171;1;0;0;0;0;0;0;0;0
16.04.2024;02:16;A171;1;0;0;0;0;0;0;0;0
16.04.2024;02:14;A171;1;0;0;0;0;0;0;0;0
16.04.2024;02:07;A171;1;0;0;0;0;0;0;0;0
