Datum;Uhrzeit;Bezeichnung;Intervall;Anf_35Z;Anf_35B
17.04.2024;01:33;A145;1;0;0
17.04.2024;01:32;A145;1;0;0
17.04.2024;01:31;A145;1;0;0
17.04.2024;01:30;A145;1;0;0
17.04.2024;01:29;A145;1;0;0
17.04.2024;01:28;A145;1;0;0
17.04.2024;01:14;A145;1;0;0
17.04.2024;01:13;A145;1;0;0
17.04.2024;01:12;A145;1;0;0
17.04.2024;01:11;A145;1;0;0
17.04.2024;00:22;A145;1;0;0
17.04.2024;00:21;A145;1;0;0
17.04.2024;00:20;A145;1;0;0
17.04.2024;00:19;A145;1;0;0
17.04.2024;00:07;A145;1;0;0
16.04.2024;22:22;A145;1;0;0
16.04.2024;20:54;A145;1;0;0
16.04.2024;20:22;A145;1;0;0
16.04.2024;20:02;A145;1;0;0
16.04.2024;19:49;A145;1;0;0
16.04.2024;19:43;A145;1;0;0
16.04.2024;19:39;A145;1;0;0
16.04.2024;19:16;A145;1;0;0
16.04.2024;19:15;A145;1;0;0
16.04.2024;19:14;A145;1;0;0
16.04.2024;19:13;A145;1;0;0
16.04.2024;19:12;A145;1;0;0
16.04.2024;19:11;A145;1;0;0
16.04.2024;19:09;A145;1;0;0
16.04.2024;18:50;A145;1;0;0
16.04.2024;18:15;A145;1;0;0
16.04.2024;18:14;A145;1;0;0
16.04.2024;18:13;A145;1;0;0
16.04.2024;18:12;A145;1;0;0
16.04.2024;17:57;A145;1;0;0
16.04.2024;17:31;A145;1;0;0
16.04.2024;17:23;A145;1;0;0
16.04.2024;16:55;A145;1;0;0
16.04.2024;16:40;A145;1;0;0
16.04.2024;16:23;A145;1;0;0
16.04.2024;16:03;A145;1;0;0
16.04.2024;15:48;A145;1;0;0
16.04.2024;15:44;A145;1;0;0
16.04.2024;15:26;A145;1;0;0
16.04.2024;15:25;A145;1;0;0
16.04.2024;15:24;A145;1;0;0
16.04.2024;15:23;A145;1;0;0
16.04.2024;15:22;A145;1;0;0
16.04.2024;15:21;A145;1;0;0
16.04.2024;15:09;A145;1;0;0
16.04.2024;15:02;A145;1;0;0
16.04.2024;14:32;A145;1;0;0
16.04.2024;13:56;A145;1;0;0
16.04.2024;12:58;A145;1;0;0
16.04.2024;11:27;A145;1;0;0
16.04.2024;09:55;A145;1;0;0
16.04.2024;09:27;A145;1;0;0
16.04.2024;07:15;A145;1;0;0
16.04.2024;06:01;A145;1;0;0
16.04.2024;05:30;A145;1;0;0
16.04.2024;04:43;A145;1;0;0
16.04.2024;04:17;A145;1;0;0
16.04.2024;04:08;A145;1;0;0
16.04.2024;04:01;A145;1;0;0
16.04.2024;03:02;A145;1;0;0
16.04.2024;02:25;A145;1;0;0
16.04.2024;02:17;A145;1;0;0
16.04.2024;02:15;A145;1;0;0
