Datum;Uhrzeit;Bezeichnung;Intervall;TF38_AnfZ;TF38_AnfB;TF38a_AnfZ;TF38a_AnfB;TBS38_AnfZ;TBS38_AnfB;TBS38a_AnfZ;TBS38a_AnfB;MP11Z;MP11B;MP12Z;MP12B;MP13Z;MP13B;MP51Z;MP51B;MP52Z;MP52B;MP53Z;MP53B;MP54Z;MP54B
17.04.2024;01:32;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;01:31;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;01:30;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;01:29;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;01:28;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;01:27;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;01:13;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;01:12;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;01:11;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;01:10;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;00:21;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;00:20;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;00:19;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;00:18;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17.04.2024;00:06;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;19:15;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;19:14;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;19:13;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;19:12;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;19:11;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;19:10;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;19:08;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;18:14;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;18:13;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;18:12;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;18:11;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;17:56;A113;1;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
16.04.2024;16:02;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;15:47;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;15:43;A113;1;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;15:25;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;15:24;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;15:23;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;15:22;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;15:21;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;15:20;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16.04.2024;09:54;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
