Datum;Uhrzeit;Bezeichnung;Intervall;H51_M1_644Z;H51_M1_644B;A51_M2_645Z;A51_M2_645B;H55_M3_648Z;H55_M3_648B;A55_M4_649Z;A55_M4_649B;T1Z;T1B;T3Z;T3B;T4Z;T4B;T5Z;T5B
17.04.2024;01:33;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:32;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:31;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:30;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:29;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:28;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:14;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:13;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:12;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:11;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:22;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:21;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:20;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:19;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:07;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:16;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:15;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:14;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:13;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:12;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:11;A125;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:09;A125;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
16.04.2024;18:15;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;18:14;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;18:13;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;18:12;A125;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;17:57;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;16:03;A125;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
16.04.2024;15:48;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:44;A125;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
16.04.2024;15:26;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:25;A125;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
16.04.2024;15:24;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:23;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:22;A125;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:21;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;09:55;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;07:15;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
