Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B
17.04.2024;01:33;A139;1;0;0;0;100
17.04.2024;01:32;A139;1;0;0;0;100
17.04.2024;01:31;A139;1;0;0;0;100
17.04.2024;01:30;A139;1;0;0;0;100
17.04.2024;01:29;A139;1;0;0;0;100
17.04.2024;01:28;A139;1;0;0;0;100
17.04.2024;01:14;A139;1;0;0;0;100
17.04.2024;01:13;A139;1;0;0;0;100
17.04.2024;01:12;A139;1;0;0;0;100
17.04.2024;01:11;A139;1;0;0;0;100
17.04.2024;00:22;A139;1;0;0;0;100
17.04.2024;00:21;A139;1;0;0;0;100
17.04.2024;00:20;A139;1;0;0;0;100
17.04.2024;00:19;A139;1;0;0;0;100
17.04.2024;00:07;A139;1;0;0;0;100
16.04.2024;20:54;A139;1;0;0;0;0
16.04.2024;19:16;A139;1;0;0;3;4
16.04.2024;19:15;A139;1;1;2;0;0
16.04.2024;19:14;A139;1;0;0;0;0
16.04.2024;19:13;A139;1;2;3;0;0
16.04.2024;19:12;A139;1;0;0;0;0
16.04.2024;19:11;A139;1;0;0;1;1
16.04.2024;19:09;A139;1;0;0;1;2
16.04.2024;18:15;A139;1;0;0;0;0
16.04.2024;18:14;A139;1;0;0;1;1
16.04.2024;18:13;A139;1;0;0;0;0
16.04.2024;18:12;A139;1;0;0;0;0
16.04.2024;17:57;A139;1;0;0;0;0
16.04.2024;17:23;A139;1;0;0;0;0
16.04.2024;16:03;A139;1;1;1;0;0
16.04.2024;15:48;A139;1;0;0;1;49
16.04.2024;15:44;A139;1;0;0;0;0
16.04.2024;15:26;A139;1;1;1;1;1
16.04.2024;15:25;A139;1;0;0;1;2
16.04.2024;15:24;A139;1;0;0;0;0
16.04.2024;15:23;A139;1;0;0;0;0
16.04.2024;15:22;A139;1;1;2;2;3
16.04.2024;15:21;A139;1;0;0;1;1
16.04.2024;12:58;A139;1;0;100;0;0
16.04.2024;09:55;A139;1;0;0;1;1
16.04.2024;09:27;A139;1;0;0;1;1
16.04.2024;07:15;A139;1;0;0;2;2
16.04.2024;04:08;A139;1;0;0;0;0
