Datum;Uhrzeit;Bezeichnung;Intervall;V21_AnfZ;V21_AnfB;V81_AnfZ;V81_AnfB;V381_AnfZ;V381_AnfB;TF38_AnfZ;TF38_AnfB;TF38a_AnfZ;TF38a_AnfB;TBS38_AnfZ;TBS38_AnfB;TBS38a_AnfZ;TBS38a_AnfB
17.04.2024;01:32;A151;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:31;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:30;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:29;A151;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
17.04.2024;01:28;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:27;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:13;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:12;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:11;A151;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:10;A151;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:21;A151;1;1;8;1;8;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:20;A151;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:19;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:18;A151;1;0;0;1;5;0;0;0;0;1;1;0;0;0;0
17.04.2024;00:06;A151;1;0;0;2;12;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:05;A151;1;1;5;1;19;0;0;0;0;1;3;0;0;0;0
16.04.2024;23:22;A151;1;0;0;2;12;0;0;0;0;0;0;0;0;0;0
16.04.2024;23:01;A151;1;0;0;1;7;0;0;0;0;2;3;0;0;0;0
16.04.2024;22:51;A151;1;3;22;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;22:26;A151;1;2;13;2;17;0;0;0;0;1;13;0;0;0;0
16.04.2024;22:21;A151;1;2;16;1;6;0;0;0;0;1;3;0;0;0;0
16.04.2024;21:55;A151;1;1;31;3;26;0;0;0;0;1;1;0;0;0;0
16.04.2024;21:33;A151;1;2;35;3;25;0;0;0;0;0;0;0;0;0;0
16.04.2024;21:29;A151;1;1;15;4;21;0;0;0;0;0;0;0;0;0;0
16.04.2024;20:53;A151;1;4;30;1;11;0;0;0;0;1;7;0;0;0;0
16.04.2024;20:36;A151;1;2;80;0;7;0;0;0;0;1;1;0;0;0;0
16.04.2024;20:21;A151;1;1;84;1;31;1;3;1;1;1;18;0;0;0;0
