Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;T32Z;T32B;TB32Z;TB32B;V51Z;V51B;ST55Z;ST55B;TB33Z;TB33B;VK1_3StoerZ;VK1_3StoerB
17.04.2024;01:32;A 39;1;;;0;0;1;4;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:31;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:30;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:29;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:28;A 39;1;;;0;0;1;5;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:27;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:13;A 39;1;;;1;7;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:12;A 39;1;;;0;0;2;3;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:11;A 39;1;;;0;0;1;3;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:10;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:21;A 39;1;;;0;0;2;4;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:20;A 39;1;;;1;8;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:19;A 39;1;;;2;12;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:18;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:06;A 39;1;;;0;0;0;0;1;11;0;0;0;0;0;0;0;0
16.04.2024;19:15;A 39;1;;;2;9;3;28;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:14;A 39;1;;;2;55;2;23;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:13;A 39;1;;;2;18;5;42;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:12;A 39;1;;;1;1;1;3;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:11;A 39;1;;;5;26;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:10;A 39;1;;;0;13;4;50;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:08;A 39;1;;;0;32;0;1;0;0;0;0;0;0;0;0;0;0
16.04.2024;18:14;A 39;1;;;0;54;1;64;0;0;0;0;0;0;0;0;0;0
16.04.2024;18:13;A 39;1;;;1;8;1;30;0;0;0;0;0;0;0;0;0;0
16.04.2024;18:12;A 39;1;;;1;41;1;21;0;0;0;0;0;0;0;0;0;0
16.04.2024;18:11;A 39;1;;;3;24;2;46;0;0;0;0;0;0;0;0;0;0
16.04.2024;17:56;A 39;1;;;4;54;2;99;0;0;0;0;0;0;0;0;0;0
16.04.2024;16:02;A 39;1;;;0;12;4;43;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:47;A 39;1;;;2;30;0;100;1;11;0;0;0;0;0;0;0;0
16.04.2024;15:25;A 39;1;;;1;5;5;38;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:24;A 39;1;;;3;45;1;10;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:23;A 39;1;;;1;5;3;19;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:22;A 39;1;;;4;53;7;31;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:21;A 39;1;;;2;12;2;16;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:20;A 39;1;;;3;77;2;21;0;0;0;0;0;0;0;0;0;0
