Datum;Uhrzeit;Bezeichnung;Intervall;Fg35_T1_T2Z;Fg35_T1_T2B
17.04.2024;01:33;A105;1;0;0
17.04.2024;01:32;A105;1;0;0
17.04.2024;01:31;A105;1;0;0
17.04.2024;01:30;A105;1;0;0
17.04.2024;01:29;A105;1;0;0
17.04.2024;01:28;A105;1;0;0
17.04.2024;01:14;A105;1;0;0
17.04.2024;01:13;A105;1;0;0
17.04.2024;01:12;A105;1;0;0
17.04.2024;01:11;A105;1;0;0
17.04.2024;00:22;A105;1;0;0
17.04.2024;00:21;A105;1;0;0
17.04.2024;00:20;A105;1;0;0
17.04.2024;00:19;A105;1;0;0
17.04.2024;00:07;A105;1;0;0
16.04.2024;19:16;A105;1;0;0
16.04.2024;19:15;A105;1;0;0
16.04.2024;19:14;A105;1;1;2
16.04.2024;19:13;A105;1;0;0
16.04.2024;19:12;A105;1;0;0
16.04.2024;19:11;A105;1;0;4
16.04.2024;19:09;A105;1;0;0
16.04.2024;18:15;A105;1;0;0
16.04.2024;18:14;A105;1;0;0
16.04.2024;18:13;A105;1;0;0
16.04.2024;18:12;A105;1;0;0
16.04.2024;17:57;A105;1;1;2
16.04.2024;16:03;A105;1;1;2
16.04.2024;15:48;A105;1;0;0
16.04.2024;15:44;A105;1;0;0
16.04.2024;15:26;A105;1;1;2
16.04.2024;15:25;A105;1;0;0
16.04.2024;15:24;A105;1;1;2
16.04.2024;15:23;A105;1;0;0
16.04.2024;15:22;A105;1;1;2
16.04.2024;15:21;A105;1;0;0
16.04.2024;09:55;A105;1;0;0
